v	Gates	Layers	Fcalls	E0	Overlap	Success
v0	2286072	66	48987	-29.865505000000002	0.02689682344436391	SUCCESS
v1	1991616	63	43795	-24.570505	0.02478645997274603	SUCCESS
v2	2574832	68	53421	-21.890687500000002	0.0009277558632336242	SUCCESS
v3	2737838	70	55701	-17.670287499999997	0.0030007778955721395	SUCCESS
v4	2138706	64	45135	-31.280745	0.24207141099927545	SUCCESS
v5	5163914	72	102531	-28.088592500000008	0.01612343201639086	SUCCESS
v6	3265856	69	65326	-25.083307500000007	0.01612343201639096	SUCCESS
v7	2004120	64	42368	-25.099955000000012	0.0004224728353764957	SUCCESS
v8	2470282	66	50128	-19.0855275	0.02700700106014965	SUCCESS
v9	2123748	64	44820	-18.678765	0.006868153533477469	SUCCESS
v10	2820028	67	57384	-21.890687500000002	0.0009277558632336479	SUCCESS
v11	2172498	64	47697	-20.672722500000003	3.003834396534452e-05	SUCCESS
v12	2847536	69	57804	-14.363065000000002	0.000712056627880991	SUCCESS
v13	2739530	69	55907	-14.219699999999996	6.947532216221156e-06	SUCCESS
v14	1922308	63	41511	-31.280745	0.24207141099927518	SUCCESS
v15	1795070	65	38638	-25.099955000000005	0.0004224728353765048	SUCCESS
v16	5062358	70	101393	-28.088592499999994	0.01612343201639058	SUCCESS
v17	2432922	64	53194	-25.0833075	0.016123432016390948	SUCCESS
v18	2206408	64	46216	-19.085527499999998	0.027007001060149555	SUCCESS
v19	2470856	68	51255	-24.570505	0.02478645997274596	SUCCESS
v20	1954782	65	41880	-19.722699999999996	0.02138041679974842	SUCCESS
v21	4659376	69	94165	-20.6727225	3.0038343965342506e-05	SUCCESS
v22	2312640	65	48984	-16.899517499999998	0.001591632531286267	SUCCESS
v23	1779950	65	38362	-25.099954999999998	0.0004224728353764944	SUCCESS
v24	2528136	66	51488	-23.131062500000002	0.0007041793109066879	SUCCESS
v25	4015140	72	76388	-23.131062500000002	0.0017564158913426608	SUCCESS
v26	2637884	65	59634	-17.564849999999996	0.005313970688634454	SUCCESS
v27	1866380	65	39774	-17.4289675	0.0002871799838057738	SUCCESS
v28	5167038	70	103038	-28.0885925	0.016123432016390608	SUCCESS
v29	2210406	64	45939	-25.343635000000003	0.0004787507681033185	SUCCESS
v30	2952890	65	65467	-19.333064999999998	7.338935739097986e-05	SUCCESS
v31	2512214	66	51202	-23.13106250000001	0.0007041793109066795	SUCCESS
v32	5127268	70	101801	-17.412319999999998	0.0013882667896703597	SUCCESS
v33	5111708	72	101657	-28.088592499999994	0.0161234320163907	SUCCESS
v34	2684882	67	53786	-23.13106250000001	0.0007041793109066806	SUCCESS
v35	2333780	66	47807	-25.343635000000003	0.00047875076810328785	SUCCESS
v36	2851258	65	65216	-19.333065	7.338935739098355e-05	SUCCESS
v37	5478680	73	107165	-17.41232	0.0013882667896703655	SUCCESS
v38	2500218	67	52383	-17.670287500000004	0.0030007778955721326	SUCCESS
v39	2450622	66	51084	-16.899517499999998	0.0015916325312862788	SUCCESS
v40	2678708	68	55284	-14.219700000000003	6.947532216221051e-06	SUCCESS
v41	2397800	67	50680	-14.523530000000001	0.0005020588113399527	SUCCESS
v42	2628486	68	54098	-29.865505000000002	0.026896823444363966	SUCCESS
v43	2865534	70	57968	-21.890687500000002	0.0009277558632336433	SUCCESS
v44	2478972	67	51377	-24.570505	0.02478645997274596	SUCCESS
v45	2478824	67	51802	-17.670287499999997	0.003000777895572141	SUCCESS
v46	2860298	67	59924	-25.083307499999993	0.0161234320163909	SUCCESS
v47	2926492	64	65838	-19.333065	7.338935739098205e-05	SUCCESS
v48	2339910	65	48731	-25.343635000000003	2.253264488850267e-05	SUCCESS
v49	3161922	67	65618	-23.13106250000001	0.0017564158913426521	SUCCESS
v50	2296886	65	50949	-20.417605	0.0013882667896704104	SUCCESS
v51	2052060	62	46918	-25.0833075	0.016123432016390934	SUCCESS
v52	3225996	68	66039	-23.13106250000001	0.001756415891342649	SUCCESS
v53	3171024	65	69582	-19.333064999999998	7.338935739098214e-05	SUCCESS
v54	2807470	69	55776	-25.343635000000003	2.253264488850513e-05	SUCCESS
v55	2828970	67	59310	-20.417605	0.0013882667896704063	SUCCESS
v56	1931210	65	41263	-25.099955000000005	0.00042247283537648914	SUCCESS
v57	2862072	68	61981	-17.56485	0.005313970688634502	SUCCESS
v58	2562042	66	52053	-23.131062500000002	0.0007041793109066739	SUCCESS
v59	3309856	68	67523	-23.131062500000002	0.0017564158913426393	SUCCESS
v60	1973576	65	41832	-17.428967500000002	0.000287179983805772	SUCCESS
v61	2470698	67	51177	-24.570505	0.024786459972746012	SUCCESS
v62	2253586	65	48528	-20.672722500000006	3.0038343965342783e-05	SUCCESS
v63	2432392	66	49872	-19.722699999999996	0.021380416799748492	SUCCESS
v64	2466072	67	51123	-16.8995175	0.0015916325312862805	SUCCESS
v65	1997964	63	43014	-19.0855275	0.027007001060149655	SUCCESS
v66	4211582	67	87319	-17.412319999999998	0.0013882667896703707	SUCCESS
v67	2043914	62	47005	-20.417605	0.001388266789670414	SUCCESS
v68	2050790	66	42999	-17.4289675	0.0002871799838057732	SUCCESS
v69	1964446	63	42390	-15.938769999999998	0.00451852930205961	SUCCESS
v70	2706460	69	55282	-21.890687500000002	0.0009277558632336403	SUCCESS
v71	2788212	69	56669	-14.363065000000002	0.000712056627880986	SUCCESS
