28
0, (0, 1, 2, 3, 4, 6, 8, 9)
1, (0, 1, 2, 3, 4, 6, 9, 11)
2, (0, 1, 2, 3, 4, 7, 8, 11)
3, (0, 1, 2, 3, 4, 7, 9, 10)
4, (0, 1, 2, 3, 4, 8, 10, 11)
5, (0, 1, 2, 3, 5, 6, 7, 9)
6, (0, 1, 2, 3, 5, 6, 8, 11)
7, (0, 1, 2, 3, 5, 6, 9, 10)
8, (0, 1, 2, 3, 5, 7, 8, 10)
9, (0, 1, 2, 3, 5, 7, 10, 11)
10, (0, 1, 2, 4, 5, 7, 8, 9)
11, (0, 1, 2, 4, 5, 7, 9, 11)
12, (0, 1, 2, 4, 5, 8, 9, 10)
13, (0, 1, 2, 4, 5, 9, 10, 11)
14, (0, 1, 3, 4, 5, 6, 8, 9)
15, (0, 1, 3, 4, 5, 6, 9, 11)
16, (0, 1, 3, 4, 5, 7, 8, 11)
17, (0, 1, 3, 4, 5, 7, 9, 10)
18, (0, 1, 3, 4, 5, 8, 10, 11)
19, (0, 2, 3, 4, 5, 6, 7, 9)
20, (0, 2, 3, 4, 5, 6, 8, 11)
21, (0, 2, 3, 4, 5, 6, 9, 10)
22, (0, 2, 3, 4, 5, 7, 8, 10)
23, (0, 2, 3, 4, 5, 7, 10, 11)
24, (1, 2, 3, 4, 5, 6, 7, 8)
25, (1, 2, 3, 4, 5, 6, 7, 11)
26, (1, 2, 3, 4, 5, 6, 8, 10)
27, (1, 2, 3, 4, 5, 6, 10, 11)
