v0	183794	244	SUCCESS
v1	254066	287	SUCCESS
v2	417890	364	SUCCESS
v3	183798	244	SUCCESS
v4	697614	468	SUCCESS
v5	307616	314	SUCCESS
v6	380684	348	SUCCESS
v7	109648	186	SUCCESS
v8	806328	500	FAIL
v9	697614	468	SUCCESS
v10	152840	219	SUCCESS
v11	307616	314	SUCCESS
v12	380684	348	SUCCESS
v13	806328	500	FAIL
v14	183794	244	SUCCESS
v15	417890	364	SUCCESS
v16	254066	287	SUCCESS
v17	183798	244	SUCCESS
v18	252844	286	SUCCESS
v19	383296	347	SUCCESS
v20	62318	136	SUCCESS
v21	293866	306	SUCCESS
v22	252848	286	SUCCESS
v23	252844	286	SUCCESS
v24	341816	330	SUCCESS
v25	383296	347	SUCCESS
v26	62318	136	SUCCESS
v27	252848	286	SUCCESS
random	250675.95918367346	156943.92891443864	269.2448979591837	83.98603640310617	1
