28
0, (0, 7, 8, 9)
1, (0, 7, 9, 11)
2, (0, 8, 9, 10)
3, (0, 9, 10, 11)
4, (1, 6, 8, 9)
5, (1, 6, 9, 11)
6, (1, 7, 8, 11)
7, (1, 7, 9, 10)
8, (1, 8, 10, 11)
9, (2, 6, 7, 9)
10, (2, 6, 8, 11)
11, (2, 6, 9, 10)
12, (2, 7, 8, 10)
13, (2, 7, 10, 11)
14, (3, 6, 7, 8)
15, (3, 6, 7, 11)
16, (3, 6, 8, 10)
17, (3, 6, 10, 11)
18, (4, 6, 8, 9)
19, (4, 6, 9, 11)
20, (4, 7, 8, 11)
21, (4, 7, 9, 10)
22, (4, 8, 10, 11)
23, (5, 6, 7, 9)
24, (5, 6, 8, 11)
25, (5, 6, 9, 10)
26, (5, 7, 8, 10)
27, (5, 7, 10, 11)
