v0	3396.9333333333334	686.8037533062526	492555.3333333333	99586.54422940667	0
v1	3679.2	1160.309682800243	533484.0	168244.9040060352	0
v2	3572.133333333333	847.7504244895572	517959.3333333333	122923.81155098563	0
v3	3727.866666666667	721.9089385480381	540540.6666666666	104676.7960894658	0
v4	3718.133333333333	955.7023153448762	539129.3333333334	138576.83572500688	0
v5	3591.6	725.7046965995662	520782.0	105227.18100693703	0
v6	3396.9333333333334	572.8626905482862	492555.3333333333	83065.09012950181	0
v7	3611.0666666666666	547.4945925658895	523604.6666666667	79386.7159220537	0
v8	3903.0666666666666	1230.7568114330668	565944.6666666666	178459.73765779473	0
v9	3654.866666666667	815.0613364785634	529955.6666666666	118183.89378939175	0
random	3460.2	762.5151976627533	501729.0	110564.70366109908	0
