28
0, (0, 1, 2, 7, 8, 9, 10, 11)
1, (0, 1, 3, 6, 7, 8, 9, 11)
2, (0, 1, 3, 6, 8, 9, 10, 11)
3, (0, 1, 5, 7, 8, 9, 10, 11)
4, (0, 2, 3, 6, 7, 8, 9, 10)
5, (0, 2, 3, 6, 7, 9, 10, 11)
6, (0, 2, 4, 7, 8, 9, 10, 11)
7, (0, 2, 5, 6, 7, 8, 9, 11)
8, (0, 2, 5, 6, 8, 9, 10, 11)
9, (0, 3, 4, 6, 7, 8, 9, 11)
10, (0, 3, 4, 6, 8, 9, 10, 11)
11, (0, 3, 5, 6, 7, 8, 9, 10)
12, (0, 3, 5, 6, 7, 9, 10, 11)
13, (0, 4, 5, 7, 8, 9, 10, 11)
14, (1, 2, 3, 6, 7, 8, 10, 11)
15, (1, 2, 4, 6, 7, 8, 9, 11)
16, (1, 2, 4, 6, 8, 9, 10, 11)
17, (1, 2, 5, 6, 7, 8, 9, 10)
18, (1, 2, 5, 6, 7, 9, 10, 11)
19, (1, 3, 4, 6, 7, 8, 9, 10)
20, (1, 3, 4, 6, 7, 9, 10, 11)
21, (1, 3, 5, 6, 7, 8, 10, 11)
22, (1, 4, 5, 6, 7, 8, 9, 11)
23, (1, 4, 5, 6, 8, 9, 10, 11)
24, (2, 3, 4, 6, 7, 8, 10, 11)
25, (2, 4, 5, 6, 7, 8, 9, 10)
26, (2, 4, 5, 6, 7, 9, 10, 11)
27, (3, 4, 5, 6, 7, 8, 10, 11)
