Gates	Layers	Fcalls	E0	Overlap
257158	26	12791	-2.578957043386494	0.06327613430915069
146710	25	8130	-2.1129097630181106	0.05375858297519625
140690	26	7531	-2.3733363132011096	0.003551273905859988
129184	25	7177	0.3304060037860323	0.0003614665902072962
117356	26	6177	-2.247055472117845	0.05967351407005517
125352	26	6913	-2.8447120801810355	0.0009046447653138634
135594	26	7079	-2.0422037225486425	0.01984680831467491
226012	27	10949	-5.478079135679002	0.005767075610090141
170890	26	8651	-5.429782939340267	0.06074016818152252
238460	27	11944	-5.19373544577949	0.013160325109504784
106848	24	6162	-3.4351314000090545	0.006382123017842254
145834	25	7717	-5.083337444588441	0.0010202629518838836
184306	27	9007	-1.162134587017976	0.011927535497127755
107402	25	5863	-4.426690748429069	0.09244808995171927
84468	23	5299	-1.9318128540662096	0.06028129790128644
140802	26	7714	-3.9406402392341078	0.006613427313930057
96060	24	5520	-3.5779758650953615	0.0066496682640386166
131400	25	7047	-7.576106975348201	0.11261911996915054
170248	25	8848	-5.543970964075626	0.2518465533171622
99786	24	5793	-1.854744958399872	0.034828936847344054
176560	27	8881	-3.0852402136337074	0.024419826177324543
193864	26	9767	-0.2348374899154066	0.0009414587071530099
134704	26	7199	-5.268145727756712	0.00823438584916494
133616	26	7330	-3.7537023857477343	0.009822529484487398
103188	24	5743	-0.4614600245738908	0.007879807511148624
158080	25	8567	0.30241318800287925	0.004637405756665234
69008	23	4233	-4.670167535480386	0.15814693226475673
197794	26	10014	-6.260428534673085	0.0016397589398472702
160012	26	8270	-5.645582433829931	1.8284811617976966e-06
134228	25	7414	-2.7377989074993274	0.003012786335139539
141248	27	7234	1.225523161033939	0.0014709439120412892
148380	25	7870	-3.0370020814509076	0.014621210754261682
177212	25	9143	-5.809066231322587	0.0013522125728021737
134696	26	7230	-4.521200301184497	1.0064087164826488e-06
112968	25	6199	-2.993217394180821	0.013902731788680163
104454	26	5614	-6.7262985467658805	0.0054168816319117
195556	26	10137	-1.0006446906719328	1.4567593692706699e-05
184266	26	9307	-3.241987333885352	0.00013217548680976118
99992	24	5869	-3.6824581385335486	0.0017362631965452968
156012	27	7962	-2.162949790931105	0.042449295116669394
111858	23	6354	-2.4167628050046654	0.012785514335022377
137946	25	7357	-6.5035172800159105	0.01636123105489544
127666	26	6721	-0.28953896960644665	0.021748007047704073
130192	26	6876	-5.527008435931752	0.05342707233183359
112468	25	6181	-5.534472753499132	0.09692825512725864
96154	24	5498	-2.652737259368012	0.017218015307468932
115206	24	6504	-4.906138512970849	0.0033422678649336324
219688	26	10745	-3.0073419551347307	0.00942500464457042
108120	26	5931	-3.529975544313937	0.00013921279801331956
309158	28	14344	-2.609821815283886	0.013962754795160069
132406	26	6878	-7.501150457871573	0.16074555557654532
128540	25	7153	-1.9862988269503001	0.026543959515931758
177722	27	9081	-5.383214761853544	0.01805524364191283
151190	24	8472	-4.246960823101154	0.007049141174243929
173320	26	8915	-1.6276101061574721	0.055575675868802514
124702	25	7105	-2.895282986780366	0.006577399128590777
156626	26	8356	-3.861765626875293	0.028936832040552057
172708	25	9013	-5.20672810416855	4.168757498572079e-05
153230	26	7810	-4.066067585846459	0.1347041036859439
197850	27	9906	-3.7831846108241907	0.00020081761785884164
131454	25	7225	-0.5621389765599291	0.00020593905177074075
140132	26	7266	-3.2998481474614723	0.0019354961455470294
176616	26	9060	-3.554224391822691	0.002337114520099173
126964	25	7052	-0.8076459614752469	0.003243407372574186
235384	26	11411	-5.7287415955917735	0.044887416105499685
95088	23	5736	-3.7064379458473558	0.022156673668500666
176502	26	9202	-2.9491641830304935	0.00021179220809187843
113940	25	6353	-2.911644357528335	0.004288658660136376
103292	24	5979	-2.835601394664581	0.15222420661173527
146398	25	7940	-2.4671121794656283	0.0040490476815835015
111056	25	6066	-4.387753675136854	0.003125560371980313
112620	25	6071	-4.250505522994709	0.11000452911190084
134154	26	6975	-2.211582645168053	0.010708462225505528
217380	27	10922	-3.094588013862172	0.005095301539724112
162854	27	8243	-1.4838754040741935	0.0008665365672182123
104600	24	6158	-2.296960467973802	0.04384882329311109
214628	26	10657	-7.38136258986919	0.047322139594163336
193286	26	9716	-3.426129390833098	0.03345881679281878
142328	25	7523	-1.2089584004717546	0.06846167328996065
133082	25	7234	-3.3943526570027536	0.02792803982853085
121452	25	6504	-6.6952932511423375	0.2271357968773196
258002	27	12811	-5.41397319635152	0.1311670137589402
113058	25	6322	-2.861406542984485	0.023093734995617485
160488	25	8566	-1.6906072211798633	0.00941670522982068
154530	26	8045	-5.496810671721674	0.009049477893912973
118870	25	6421	-2.506112087438836	0.049914945991906136
104784	26	5740	-1.3056413517705228	0.0005892554674221767
151822	26	8122	-4.537162786974125	0.07568265676056644
165938	25	8625	-3.433372327646991	0.02838672486405356
110938	26	6161	-1.7118410125731867	0.012463763720144527
271178	26	12395	-5.5281243537973275	0.0009184516120682124
148398	26	7660	-1.4878247200013572	0.02973362791449531
89360	23	5354	-3.407770527313126	0.034171900341833775
206458	27	9950	-6.754488367990691	0.00853027075376879
168610	26	8839	-3.0663847911471414	0.058599785941863214
134770	25	7137	-4.4024232938455885	0.0032284415767484184
116896	25	6506	-3.113206015261519	0.021235361397992664
152028	24	8373	-3.847913493352997	0.003883185153800371
291490	27	14632	0.36435992458466376	0.00010379745524296268
190028	26	9509	-4.354500847246507	0.000581588228024195
