v0	121772	26	SUCCESS	E0=-5.328425000000001	overlapp=0.14895372459267853
v1	206730	27	SUCCESS	E0=-6.743665	overlapp=0.14895372459267822
v2	104680	25	SUCCESS	E0=-4.070762500000001	overlapp=0.02940334251183635
v3	217742	26	SUCCESS	E0=-1.1434250000000015	overlapp=0.000284661909720498
v4	205728	27	SUCCESS	E0=-6.743665	overlapp=0.14895372459267806
v5	98262	24	SUCCESS	E0=-4.070762500000001	overlapp=0.029403342511836607
v6	95058	24	SUCCESS	E0=-3.8232425	overlapp=0.05418446811341384
v7	132330	27	SUCCESS	E0=-4.352692500000001	overlapp=0.02077462495819556
v8	175924	27	SUCCESS	E0=-2.903050000000002	overlapp=0.002428665982450735
v9	179426	26	SUCCESS	E0=-4.336045000000001	overlapp=0.0019739910630145823
v10	223306	26	SUCCESS	E0=-2.1103375000000018	overlapp=0.02224318527708129
v11	178476	26	SUCCESS	E0=-4.336045000000001	overlapp=0.001973991063014572
v12	206910	26	SUCCESS	E0=-2.1103375000000018	overlapp=0.02224318527708129
v13	122324	26	SUCCESS	E0=-0.7128425000000016	overlapp=0.022243185277081374
v14	121674	26	SUCCESS	E0=-5.328424999999999	overlapp=0.1489537245926775
v15	161036	26	SUCCESS	E0=-7.341330000000002	overlapp=0.0007594264177822797
v16	119864	25	SUCCESS	E0=-2.1103375000000018	overlapp=0.022243185277081256
v17	143306	26	SUCCESS	E0=-7.341330000000002	overlapp=0.0007594264177822351
v18	118616	25	SUCCESS	E0=-2.1103375000000018	overlapp=0.022243185277081308
v19	119658	26	SUCCESS	E0=-4.352692500000001	overlapp=0.0207746249581954
v20	180388	25	SUCCESS	E0=-2.903050000000002	overlapp=0.002428665982450734
v21	95562	24	SUCCESS	E0=-3.8232425	overlapp=0.05418446811341354
v22	206022	27	SUCCESS	E0=-2.1280825000000005	overlapp=0.022243185277081256
v23	98538	24	SUCCESS	E0=-0.9741250000000026	overlapp=0.003310628749904622
v24	214660	26	SUCCESS	E0=-1.1434250000000015	overlapp=0.00028466190972049166
v25	206036	27	SUCCESS	E0=-2.1280825000000005	overlapp=0.022243185277081298
v26	100516	24	SUCCESS	E0=-0.9741250000000026	overlapp=0.0033106287499046656
v27	121774	26	SUCCESS	E0=-0.7128425000000016	overlapp=0.022243185277081225
