Gates	Layers	Fcalls	E0	Overlap	Success
264	4	97	7.533046487369747	0.0022451393738026977	SUCCESS
264	4	90	2.31222495329708	0.08816207500573182	SUCCESS
582	5	172	5.184651788022877	0.014332954844465968	SUCCESS
410	4	138	4.442828565530554	0.15383885368607259	SUCCESS
320	4	109	2.5508032491525396	0.25098165936130024	SUCCESS
280	4	93	3.4442139849407374	0.15457753375663888	SUCCESS
436	4	142	6.869326907730612	0.0010293727813555315	SUCCESS
590	5	169	4.289486107461375	0.0755906760459895	SUCCESS
230	4	84	7.021719891962652	0.010276677579354758	SUCCESS
256	4	89	2.311200427238201	0.3533530863428734	SUCCESS
236	4	84	0.5223079100173287	0.5795201009086358	SUCCESS
106	3	48	3.2483443296115206	0.14917965125571145	SUCCESS
272	4	94	5.162997856955837	0.08252315702279878	SUCCESS
268	4	89	1.653894079074778	0.35428301004485296	SUCCESS
244	4	83	-0.7908757475871231	0.628314374625932	SUCCESS
334	4	113	3.772535243000385	0.13447576398184305	SUCCESS
282	4	97	4.749719560387604	0.045252372618775315	SUCCESS
316	4	108	4.48611333999931	0.005239089128253705	SUCCESS
326	4	109	5.309689008845729	0.05560930478442635	SUCCESS
288	4	98	0.19228147920177763	0.585284294165867	SUCCESS
358	4	121	5.2616897606680695	0.0003632970710674039	SUCCESS
196	4	74	3.407722022450827	0.3237369100985754	SUCCESS
260	4	88	-2.1000559834253374	0.7512363413219123	SUCCESS
218	4	77	2.6416270889380207	0.3694145064764731	SUCCESS
266	4	91	2.4942033845947913	0.16220131119667552	SUCCESS
348	4	116	4.767879777244662	0.01688207672761412	SUCCESS
232	4	83	2.2678596191814497	0.3369953508217905	SUCCESS
178	4	67	1.57822259022559	0.46775657645564156	SUCCESS
252	4	88	3.793033812111294	0.12051613557857493	SUCCESS
282	4	99	4.181309904656541	0.16127152924739405	SUCCESS
234	4	97	6.232024735744988	0.12676492808128123	SUCCESS
256	4	89	5.524064013430746	0.18279979316368894	SUCCESS
254	4	90	4.216966332762542	0.10419239132665485	SUCCESS
208	4	74	3.5886296186248576	0.06265603633314913	SUCCESS
280	4	113	7.327482302370569	1.7171281049863726e-05	SUCCESS
226	4	80	-0.3320782696324309	0.6076122063197497	SUCCESS
378	4	126	4.7140279248159445	0.1173189643544255	SUCCESS
268	4	96	6.403602522010732	0.06727347272036736	SUCCESS
258	4	87	1.4829655253385527	0.09446883612416355	SUCCESS
302	4	104	6.9973734136631816	0.05290607576543371	SUCCESS
212	4	78	-0.6529982183233598	0.6892645692020233	SUCCESS
236	4	84	1.507549870636074	0.5627526712294497	SUCCESS
230	4	81	0.6338131496308772	0.45956462902018536	SUCCESS
266	4	90	5.568069317570298	0.020750664608242833	SUCCESS
450	4	146	6.043788882421001	0.010381378581376185	SUCCESS
248	4	84	4.907563077680833	0.2196236004341609	SUCCESS
330	4	109	2.9036984182106274	0.015987713577995492	SUCCESS
158	3	70	2.3247340493994373	0.004489004783616911	SUCCESS
322	4	109	1.5157049222032468	0.08224567995135183	SUCCESS
588	5	162	0.7642328686778801	0.0006876761542833056	SUCCESS
238	4	104	6.299170704496414	0.00012549725289715577	SUCCESS
304	4	101	3.1665028384718363	0.04838828962601007	SUCCESS
248	4	88	-1.1147825715610922	0.7778410647470471	SUCCESS
202	4	75	0.5387183796473192	0.5175381576000704	SUCCESS
238	4	89	7.7770558702423305	0.006486794792924924	SUCCESS
174	4	66	1.502723766748026	0.4126341140160907	SUCCESS
268	4	93	3.5250039394296113	0.19354233541425134	SUCCESS
238	4	94	6.42437899442481	0.0035091971811174686	SUCCESS
262	4	90	3.0947270905948505	0.1292417307426665	SUCCESS
342	4	114	3.6472038637083317	0.01460390150512281	SUCCESS
