v0	684.02	272.34602916143285	30780.9	12255.571312264474	0
v1	660.56	202.7676660614311	29725.2	9124.544972764392	0
v2	686.78	200.00797884084545	30905.1	9000.359047838043	0
v3	700.12	200.04235951417883	31505.4	9001.906178138046	0
v4	669.3	202.43920074926214	30118.5	9109.76403371679	0
v5	686.32	187.83327074828867	30884.4	8452.497183672993	0
v6	667.46	223.13509002395824	30035.7	10041.079051078126	0
v7	671.6	216.54228224529254	30222.0	9744.40270103817	0
v8	698.28	213.82628837446546	31422.6	9622.182976850945	0
v9	639.86	189.22669050638694	28793.7	8515.201072787415	0
random	684.94	200.81463193701774	30822.3	9036.658437165812	0
