v	Gates	Layers	Fcalls	E0	Overlap	Success
v0	488728	42	16227	-21.427712500000002	0.0206618503868078	SUCCESS
v1	624738	42	19479	-14.222665	0.0012195713333151856	SUCCESS
v2	603358	44	19232	-23.558055000000007	0.015496387790105846	SUCCESS
v3	584272	44	18312	-20.870755	0.005165462596701974	SUCCESS
v4	581384	43	18991	-16.345524999999995	0.0012195713333151739	SUCCESS
v5	794238	46	23264	-28.96475	0.2529570237576721	SUCCESS
v6	565706	43	18229	-25.467767499999997	0.005165462596701927	SUCCESS
v7	585802	44	18622	-25.467767500000004	0.005165462596701944	SUCCESS
v8	802460	46	23467	-23.045385000000007	0.060393316291243476	SUCCESS
v9	790786	46	23226	-17.034815	0.04444851087821131	SUCCESS
v10	787746	45	24270	-16.884737499999996	0.008456006723212924	SUCCESS
v11	594264	44	18935	-13.756725000000003	0.00119070293264486	SUCCESS
v12	637182	45	19627	-20.116612500000002	0.0006143186894096124	SUCCESS
v13	522448	41	17563	-13.647962500000006	0.0024036353369205855	SUCCESS
v14	711126	46	21256	-13.199767500000004	0.0002976757331612186	SUCCESS
v15	624450	45	19342	-28.96475	0.25295702375767165	SUCCESS
v16	596524	44	18569	-22.462482500000004	0.005165462596701927	SUCCESS
v17	586612	44	18362	-22.462482500000004	0.005165462596701902	SUCCESS
v18	658782	46	20144	-17.034815	0.04444851087821125	SUCCESS
v19	643666	46	19708	-23.045385000000007	0.06039331629124334	SUCCESS
v20	601850	44	18736	-20.870755	0.005165462596701948	SUCCESS
v21	607138	44	19321	-23.558055000000007	0.015496387790105821	SUCCESS
v22	578146	43	18836	-16.345524999999995	0.0012195713333151656	SUCCESS
v23	575150	43	18778	-17.2210525	0.006029003801509072	SUCCESS
v24	592652	44	18506	-20.116612500000002	0.0006143186894096098	SUCCESS
v25	642738	45	20077	-15.8870675	0.0008930271994836513	SUCCESS
v26	474398	42	15913	-22.1972	4.787801365974042e-37	SUCCESS
v27	858120	45	26020	-19.771967500000006	0.0008190915858794718	SUCCESS
v28	608912	42	19078	-16.1421275	0.004011546672744955	SUCCESS
v29	541758	44	17469	-14.791494999999998	0.00029767573316121827	SUCCESS
v30	468666	42	15705	-17.79678	0.0002976757331612172	SUCCESS
v31	471210	42	15803	-21.427712500000002	0.020661850386807807	SUCCESS
v32	617128	42	19285	-14.222665	0.0012195713333151656	SUCCESS
v33	489528	42	16285	-22.1972	1.1945728634756419e-33	SUCCESS
v34	608084	42	19029	-16.1421275	0.004011546672744943	SUCCESS
v35	918886	45	28283	-19.771967500000006	0.0008190915858794771	SUCCESS
v36	547172	44	17598	-14.791495000000001	0.00029767573316122364	SUCCESS
v37	475334	42	15870	-17.796780000000002	0.000297675733161216	SUCCESS
v38	592570	44	18505	-20.116612500000002	0.0006143186894096082	SUCCESS
v39	574476	43	18769	-17.221052500000003	0.0060290038015090655	SUCCESS
v40	655118	45	20419	-15.887067499999997	0.0008930271994836478	SUCCESS
v41	529660	41	17774	-13.647962500000002	0.0024036353369205577	SUCCESS
v42	640952	45	19754	-20.116612500000002	0.000614318689409606	SUCCESS
v43	715268	46	21355	-13.1997675	0.00029767573316122255	SUCCESS
v44	782920	45	24168	-16.884737499999996	0.008456006723212924	SUCCESS
v45	597760	44	19020	-13.756725	0.0011907029326448779	SUCCESS
v46	806814	46	23586	-16.504250000000006	0.07950531220815273	SUCCESS
v47	578818	44	18478	-14.526212500000003	1.6109739346607572e-32	SUCCESS
v48	590128	44	18761	-14.5262125	1.1718778031822947e-34	SUCCESS
v49	774574	46	22798	-13.622774999999997	0.022430045504449624	SUCCESS
v50	783656	46	23036	-13.622774999999997	0.022430045504449624	SUCCESS
