v	Gates	Layers	Fcalls	E0	Overlap	Success
v0	2722	9	453	-8.265912499999999	0.036353928630846806	SUCCESS
v1	2684	9	441	-15.41365	0.4426148510880521	SUCCESS
v2	2580	9	441	-9.6811525	0.004039325403427547	SUCCESS
v3	2684	9	441	-15.413650000000004	0.4426148510880499	SUCCESS
v4	2428	9	414	-9.6811525	0.004039325403427421	SUCCESS
v5	2754	9	465	-8.265912499999999	0.03635392863084702	SUCCESS
v6	2754	9	465	-9.398125000000004	0.001255359884049617	SUCCESS
v7	2690	9	447	-7.742662500000002	0.015736534993625987	SUCCESS
v8	2742	9	458	-9.398125000000004	0.0012553598840495763	SUCCESS
v9	2690	9	447	-7.742662499999998	0.01573653499362593	SUCCESS
