51
0, (0, 1, 2, 3, 6, 9)
1, (0, 1, 2, 3, 7, 8)
2, (0, 1, 2, 3, 7, 11)
3, (0, 1, 2, 3, 8, 10)
4, (0, 1, 2, 3, 10, 11)
5, (0, 1, 2, 4, 8, 9)
6, (0, 1, 2, 4, 9, 11)
7, (0, 1, 2, 5, 7, 9)
8, (0, 1, 2, 5, 8, 11)
9, (0, 1, 2, 5, 9, 10)
10, (0, 1, 3, 4, 7, 9)
11, (0, 1, 3, 4, 8, 11)
12, (0, 1, 3, 4, 9, 10)
13, (0, 1, 3, 5, 6, 9)
14, (0, 1, 3, 5, 7, 8)
15, (0, 1, 3, 5, 7, 11)
16, (0, 1, 3, 5, 8, 10)
17, (0, 1, 3, 5, 10, 11)
18, (0, 1, 4, 5, 8, 9)
19, (0, 1, 4, 5, 9, 11)
20, (0, 2, 3, 4, 6, 9)
21, (0, 2, 3, 4, 7, 8)
22, (0, 2, 3, 4, 7, 11)
23, (0, 2, 3, 4, 8, 10)
24, (0, 2, 3, 4, 10, 11)
25, (0, 2, 3, 5, 6, 8)
26, (0, 2, 3, 5, 6, 11)
27, (0, 2, 3, 5, 7, 10)
28, (0, 2, 4, 5, 7, 9)
29, (0, 2, 4, 5, 8, 11)
30, (0, 2, 4, 5, 9, 10)
31, (0, 3, 4, 5, 6, 9)
32, (0, 3, 4, 5, 7, 8)
33, (0, 3, 4, 5, 7, 11)
34, (0, 3, 4, 5, 8, 10)
35, (0, 3, 4, 5, 10, 11)
36, (1, 2, 3, 4, 6, 8)
37, (1, 2, 3, 4, 6, 11)
38, (1, 2, 3, 4, 7, 10)
39, (1, 2, 3, 5, 6, 7)
40, (1, 2, 3, 5, 6, 10)
41, (1, 2, 4, 5, 6, 9)
42, (1, 2, 4, 5, 7, 8)
43, (1, 2, 4, 5, 7, 11)
44, (1, 2, 4, 5, 8, 10)
45, (1, 2, 4, 5, 10, 11)
46, (1, 3, 4, 5, 6, 8)
47, (1, 3, 4, 5, 6, 11)
48, (1, 3, 4, 5, 7, 10)
49, (2, 3, 4, 5, 6, 7)
50, (2, 3, 4, 5, 6, 10)
