Gates	Layers	Fcalls	E0	Overlap
1176	7	251	-0.27568130323442286	0.2086385739798767
3188	9	533	3.0453401164353413	0.06919489401819896
5988	11	861	0.049358481959215404	0.029168749726449623
3146	9	531	2.297492253366758	0.16787655031743348
2784	9	464	-0.9504632595896557	0.2887690852961823
3940	9	609	0.9105790361739833	0.03598399114189532
4572	10	680	-1.847850260365799	0.1766765663661186
2054	8	370	0.6782665747829308	0.2929893065420327
2286	8	428	4.1557400663828625	0.01080654938494909
2930	9	477	-0.29807971739825956	0.24035476738773806
2258	8	401	-0.299136175278363	0.0053774893082677855
2868	9	459	-0.9175746064687643	0.24152662111586878
3460	9	540	-1.2200772683079293	0.0014645180920814605
2030	8	372	1.2154476717151816	0.004007038550595585
4798	10	712	2.5187160952026013	0.006218480935295023
2904	9	489	3.0890052967282426	0.05387104004090534
2986	9	474	3.2069606471145717	0.02550955311738807
3216	9	509	2.3768252806959165	0.00463828607144
2676	9	442	-0.8392610507003143	0.054400512972108225
3962	9	604	0.49652388515196555	0.21358029037818416
6018	10	878	2.577237277786066	0.014652486605309685
2666	9	446	-0.1337725041330271	0.009907885840113007
1976	8	386	4.632436486407942	0.000192610887299081
3258	9	525	1.8139161267411161	0.003292618016949709
3128	9	502	-0.01247534248690785	0.008848454079771717
5420	9	798	0.7092461281527906	1.734710790074136e-05
3028	9	500	1.2032303968802622	0.15348400652784094
1098	7	234	3.8781877152691755	0.12119285820704981
2742	9	445	0.1849953434811304	0.5441435141606898
3442	9	565	1.1567367817277543	0.018195966434816722
2288	8	403	-2.226575561672586	0.33882579257428214
2154	8	404	-1.2235650711962986	0.07122612318426062
1832	8	332	1.6682761550858296	0.0011489429209362934
2868	9	463	-2.7576095400868454	0.39174170346918696
2130	8	374	-0.06132062951777571	0.031767302879107805
2066	8	373	-0.07572854039021235	0.19882371418708572
2662	9	445	0.01174637681767272	0.018588225746604424
4482	9	696	3.5898888324252396	0.025195346003190462
2082	8	365	-2.41651128788284	0.5876911895563411
2136	8	380	3.02780916843523	0.01852149426448207
2472	8	453	0.5214471887088415	0.0005452448320118036
1882	8	342	-1.4714598014070144	0.5975041095214206
1954	8	352	-0.39242041218952894	0.13747347073142252
2976	9	472	0.3363814907702683	0.5052232318894353
3204	9	549	-0.08019032581566768	0.027702812199108556
3634	9	577	-0.9095382127418584	0.05184177037149089
1744	7	341	-0.6131671644110298	0.013927050788209237
3606	9	558	2.2552607144593377	0.0146543469693584
3292	9	523	1.5818357834402403	0.00010242284377705317
1656	8	305	-3.0949353446358576	0.6263530077508582
