v	Gates	Layers	Fcalls	E0	Overlap	Success
v0	726	6	185	2.5814499999999994	0.0040807196792423854	FAIL
v1	2844	9	451	1.140274999999999	0.16834938481015638	SUCCESS
v2	726	6	185	2.5814499999999994	0.004080719679242381	FAIL
v3	2844	9	451	1.140274999999999	0.1683493848101565	SUCCESS
v4	728	6	187	0.6671449999999997	0.14329845963039978	FAIL
v5	2844	9	451	1.140274999999999	0.16834938481015652	SUCCESS
v6	118	4	52	-0.7480950000000002	0.01592205107004444	FAIL
v7	2844	9	451	1.140274999999999	0.1683493848101565	SUCCESS
v8	118	4	52	-0.7480950000000002	0.01592205107004441	FAIL
v9	728	6	187	0.6671449999999997	0.14329845963039956	FAIL
