v0	14353	15	FAIL
v1	6000	9	SUCCESS
v2	3265	5	FAIL
v3	6432	9	SUCCESS
v4	4106	7	FAIL
v5	7727	9	SUCCESS
v6	769	5	FAIL
v7	6701	9	SUCCESS
v8	505	4	FAIL
v9	4305	7	FAIL
random	30298	10	SUCCESS
