v	Gates	Layers	Fcalls	E0	Overlap	Success
v0	2939078	67	59742	-29.865505000000002	0.02689682344436391	SUCCESS
v1	2991742	68	60016	-24.570505	0.02478645997274603	SUCCESS
v2	4526720	69	95987	-21.890687500000002	0.0009277558632336242	SUCCESS
v3	2994400	67	60668	-17.670287499999997	0.0030007778955721395	SUCCESS
v4	2247748	65	46104	-31.280745	0.24207141099927545	SUCCESS
v5	2911324	70	55900	-28.088592500000008	0.01612343201639086	SUCCESS
v6	2498510	66	51997	-25.083307500000007	0.01612343201639096	SUCCESS
v7	2644386	68	52694	-25.099955000000012	0.0004224728353764957	SUCCESS
v8	2681176	67	52479	-19.0855275	0.02700700106014965	SUCCESS
v9	1776856	63	38433	-18.678765	0.006868153533477469	SUCCESS
v10	4355042	70	91624	-21.890687500000002	0.0009277558632336479	SUCCESS
v11	2661034	68	53210	-20.672722500000003	3.003834396534452e-05	SUCCESS
v12	4691576	69	98267	-14.363065000000002	0.000712056627880991	SUCCESS
v13	4975084	70	103350	-14.219699999999996	6.947532216221156e-06	SUCCESS
v14	2330632	66	47430	-31.280745	0.24207141099927518	SUCCESS
v15	3808402	72	75154	-25.099955000000005	0.0004224728353765048	SUCCESS
v16	2925546	70	56002	-28.088592499999994	0.01612343201639058	SUCCESS
v17	2402724	66	50110	-25.0833075	0.016123432016390948	SUCCESS
v18	2303306	66	46970	-19.085527499999998	0.027007001060149555	SUCCESS
v19	2281246	63	48706	-24.570505	0.02478645997274596	SUCCESS
v20	2821814	68	58068	-19.722699999999996	0.02138041679974842	SUCCESS
v21	2931316	70	56105	-20.6727225	3.0038343965342506e-05	SUCCESS
v22	3100112	71	60133	-16.899517499999998	0.001591632531286267	SUCCESS
v23	3758720	72	74743	-25.099954999999998	0.0004224728353764944	SUCCESS
v24	2183848	66	45334	-23.131062500000002	0.0007041793109066879	SUCCESS
v25	3506920	67	75785	-23.131062500000002	0.0017564158913426608	SUCCESS
v26	3107608	69	60484	-17.564849999999996	0.005313970688634454	SUCCESS
v27	3990808	73	77699	-17.4289675	0.0002871799838057738	SUCCESS
v28	2884828	69	55764	-28.0885925	0.016123432016390608	SUCCESS
v29	1932204	65	41093	-25.343635000000003	0.0004787507681033185	SUCCESS
v30	2359384	66	48144	-19.333064999999998	7.338935739097986e-05	SUCCESS
v31	2160510	66	44948	-23.13106250000001	0.0007041793109066795	SUCCESS
v32	3197764	71	60218	-17.412319999999998	0.0013882667896703597	SUCCESS
v33	3257788	71	60982	-28.088592499999994	0.0161234320163907	SUCCESS
v34	2104066	66	43840	-23.13106250000001	0.0007041793109066806	SUCCESS
v35	2011944	65	42537	-25.343635000000003	0.00047875076810328785	SUCCESS
v36	2540112	67	50856	-19.333065	7.338935739098355e-05	SUCCESS
v37	2983090	70	57051	-17.41232	0.0013882667896703655	SUCCESS
v38	2888126	66	58919	-17.670287500000004	0.0030007778955721326	SUCCESS
v39	3066314	68	61115	-16.899517499999998	0.0015916325312862788	SUCCESS
v40	4662340	69	98086	-14.219700000000003	6.947532216221051e-06	SUCCESS
v41	3138298	67	62900	-14.523530000000001	0.0005020588113399527	SUCCESS
v42	2878998	66	58860	-29.865505000000002	0.026896823444363966	SUCCESS
v43	4868760	70	100870	-21.890687500000002	0.0009277558632336433	SUCCESS
v44	3005012	68	60184	-24.570505	0.02478645997274596	SUCCESS
v45	2870370	66	58679	-17.670287499999997	0.003000777895572141	SUCCESS
v46	2395050	66	50140	-25.083307499999993	0.0161234320163909	SUCCESS
v47	2814738	71	54537	-19.333065	7.338935739098205e-05	SUCCESS
v48	3130422	69	63464	-25.343635000000003	2.253264488850267e-05	SUCCESS
v49	4847050	73	94124	-23.13106250000001	0.0017564158913426521	SUCCESS
v50	2346582	65	49314	-20.417605	0.0013882667896704104	SUCCESS
v51	2415178	66	50364	-25.0833075	0.016123432016390934	SUCCESS
v52	4170196	70	84159	-23.13106250000001	0.001756415891342649	SUCCESS
v53	2940498	71	56475	-19.333064999999998	7.338935739098214e-05	SUCCESS
v54	3264236	69	65656	-25.343635000000003	2.253264488850513e-05	SUCCESS
v55	2497702	66	51954	-20.417605	0.0013882667896704063	SUCCESS
v56	2898294	68	56891	-25.099955000000005	0.00042247283537648914	SUCCESS
v57	3166976	69	61435	-17.56485	0.005313970688634502	SUCCESS
v58	2127734	66	44278	-23.131062500000002	0.0007041793109066739	SUCCESS
v59	3646066	68	77346	-23.131062500000002	0.0017564158913426393	SUCCESS
v60	2609960	67	52390	-17.428967500000002	0.000287179983805772	SUCCESS
v61	2350996	64	49742	-24.570505	0.024786459972746012	SUCCESS
v62	2544380	67	51612	-20.672722500000006	3.0038343965342783e-05	SUCCESS
v63	2188712	65	45128	-19.722699999999996	0.021380416799748492	SUCCESS
v64	2746710	66	55713	-16.8995175	0.0015916325312862805	SUCCESS
v65	2684488	67	52616	-19.0855275	0.027007001060149655	SUCCESS
v66	2845488	70	54942	-17.412319999999998	0.0013882667896703707	SUCCESS
v67	2410568	66	50276	-20.417605	0.001388266789670414	SUCCESS
v68	2679682	68	53376	-17.4289675	0.0002871799838057732	SUCCESS
v69	2260170	66	46249	-15.938769999999998	0.00451852930205961	SUCCESS
v70	4477762	68	95307	-21.890687500000002	0.0009277558632336403	SUCCESS
v71	4265954	67	92019	-14.363065000000002	0.000712056627880986	SUCCESS
v72	2901096	70	55701	-20.672722500000003	3.0038343965342384e-05	SUCCESS
v73	4612786	69	97333	-14.2197	6.947532216221586e-06	SUCCESS
v74	1817870	63	39196	-18.678765	0.006868153533477462	SUCCESS
v75	2563570	67	50603	-19.0855275	0.027007001060149565	SUCCESS
v76	3880702	72	76561	-17.428967500000002	0.0002871799838057733	SUCCESS
v77	2961128	70	56668	-17.412319999999998	0.001388266789670352	SUCCESS
v78	2415632	66	50588	-20.417605	0.0013882667896704104	SUCCESS
v79	2138192	65	44294	-15.938769999999998	0.004518529302059644	SUCCESS
v80	2968488	67	60159	-17.6702875	0.003000777895572125	SUCCESS
v81	4541462	68	96887	-14.219700000000003	6.947532216221481e-06	SUCCESS
v82	3106374	68	61773	-16.899517499999998	0.0015916325312862638	SUCCESS
v83	2782452	66	57197	-14.523529999999994	0.0005020588113399637	SUCCESS
