84
0, (0, 1, 2, 7, 8, 9)
1, (0, 1, 2, 7, 9, 11)
2, (0, 1, 2, 8, 9, 10)
3, (0, 1, 2, 9, 10, 11)
4, (0, 1, 3, 6, 8, 9)
5, (0, 1, 3, 6, 9, 11)
6, (0, 1, 3, 7, 8, 11)
7, (0, 1, 3, 7, 9, 10)
8, (0, 1, 3, 8, 10, 11)
9, (0, 1, 4, 8, 9, 11)
10, (0, 1, 5, 7, 8, 9)
11, (0, 1, 5, 7, 9, 11)
12, (0, 1, 5, 8, 9, 10)
13, (0, 1, 5, 9, 10, 11)
14, (0, 2, 3, 6, 7, 9)
15, (0, 2, 3, 6, 8, 11)
16, (0, 2, 3, 6, 9, 10)
17, (0, 2, 3, 7, 8, 10)
18, (0, 2, 3, 7, 10, 11)
19, (0, 2, 4, 7, 8, 9)
20, (0, 2, 4, 7, 9, 11)
21, (0, 2, 4, 8, 9, 10)
22, (0, 2, 4, 9, 10, 11)
23, (0, 2, 5, 6, 8, 9)
24, (0, 2, 5, 6, 9, 11)
25, (0, 2, 5, 7, 8, 11)
26, (0, 2, 5, 7, 9, 10)
27, (0, 2, 5, 8, 10, 11)
28, (0, 3, 4, 6, 8, 9)
29, (0, 3, 4, 6, 9, 11)
30, (0, 3, 4, 7, 8, 11)
31, (0, 3, 4, 7, 9, 10)
32, (0, 3, 4, 8, 10, 11)
33, (0, 3, 5, 6, 7, 9)
34, (0, 3, 5, 6, 8, 11)
35, (0, 3, 5, 6, 9, 10)
36, (0, 3, 5, 7, 8, 10)
37, (0, 3, 5, 7, 10, 11)
38, (0, 4, 5, 7, 8, 9)
39, (0, 4, 5, 7, 9, 11)
40, (0, 4, 5, 8, 9, 10)
41, (0, 4, 5, 9, 10, 11)
42, (1, 2, 3, 6, 7, 8)
43, (1, 2, 3, 6, 7, 11)
44, (1, 2, 3, 6, 8, 10)
45, (1, 2, 3, 6, 10, 11)
46, (1, 2, 4, 6, 8, 9)
47, (1, 2, 4, 6, 9, 11)
48, (1, 2, 4, 7, 8, 11)
49, (1, 2, 4, 7, 9, 10)
50, (1, 2, 4, 8, 10, 11)
51, (1, 2, 5, 6, 7, 9)
52, (1, 2, 5, 6, 8, 11)
53, (1, 2, 5, 6, 9, 10)
54, (1, 2, 5, 7, 8, 10)
55, (1, 2, 5, 7, 10, 11)
56, (1, 3, 4, 6, 7, 9)
57, (1, 3, 4, 6, 8, 11)
58, (1, 3, 4, 6, 9, 10)
59, (1, 3, 4, 7, 8, 10)
60, (1, 3, 4, 7, 10, 11)
61, (1, 3, 5, 6, 7, 8)
62, (1, 3, 5, 6, 7, 11)
63, (1, 3, 5, 6, 8, 10)
64, (1, 3, 5, 6, 10, 11)
65, (1, 4, 5, 6, 8, 9)
66, (1, 4, 5, 6, 9, 11)
67, (1, 4, 5, 7, 8, 11)
68, (1, 4, 5, 7, 9, 10)
69, (1, 4, 5, 8, 10, 11)
70, (2, 3, 4, 6, 7, 8)
71, (2, 3, 4, 6, 7, 11)
72, (2, 3, 4, 6, 8, 10)
73, (2, 3, 4, 6, 10, 11)
74, (2, 3, 5, 6, 7, 10)
75, (2, 4, 5, 6, 7, 9)
76, (2, 4, 5, 6, 8, 11)
77, (2, 4, 5, 6, 9, 10)
78, (2, 4, 5, 7, 8, 10)
79, (2, 4, 5, 7, 10, 11)
80, (3, 4, 5, 6, 7, 8)
81, (3, 4, 5, 6, 7, 11)
82, (3, 4, 5, 6, 8, 10)
83, (3, 4, 5, 6, 10, 11)
