v0	418243.8	65930.63169392507	0
v1	409188.0	69630.84945625754	0
v2	390070.2	86609.21661093576	0
v3	424281.0	92842.81547325027	0
v4	419250.0	112396.5385054184	0
v5	420256.2	99008.92109077847	0
v6	444405.0	103172.98708964474	0
v7	421262.4	103357.63371052952	0
v8	401809.2	82902.84737787952	0
v18	430318.2	95668.99179337043	0
v19	411200.4	83731.85596796458	0
v21	416566.8	75024.71428642704	0
v22	463522.8	123996.43194931056	0
v23	411200.4	82650.0734896223	0
v27	402480.0	87590.1450621016	0
random	364244.4	74473.906575659	0
