v0	183794	244	SUCCESS
v1	697614	468	SUCCESS
v2	252844	286	SUCCESS
v3	417890	364	SUCCESS
v4	697614	468	SUCCESS
v5	252844	286	SUCCESS
v6	254066	287	SUCCESS
v7	152840	219	SUCCESS
v8	341816	330	SUCCESS
v9	307616	314	SUCCESS
v10	383296	347	SUCCESS
v11	307616	314	SUCCESS
v12	383296	347	SUCCESS
v13	183798	244	SUCCESS
v14	183794	244	SUCCESS
v15	380684	348	SUCCESS
v16	62318	136	SUCCESS
v17	380684	348	SUCCESS
v18	62318	136	SUCCESS
v19	109648	186	SUCCESS
v20	293866	306	SUCCESS
v21	254066	287	SUCCESS
v22	806328	500	FAIL
v23	252848	286	SUCCESS
v24	417890	364	SUCCESS
v25	806328	500	FAIL
v26	252848	286	SUCCESS
v27	183798	244	SUCCESS
random	251417.20833333334	146313.77037138346	272.4375	77.71017368240788	2
