51
0, (0, 1, 8, 9)
1, (0, 1, 9, 11)
2, (0, 2, 7, 9)
3, (0, 2, 8, 11)
4, (0, 2, 9, 10)
5, (0, 3, 6, 9)
6, (0, 3, 7, 8)
7, (0, 3, 7, 11)
8, (0, 3, 8, 10)
9, (0, 3, 10, 11)
10, (0, 4, 8, 9)
11, (0, 4, 9, 11)
12, (0, 5, 7, 9)
13, (0, 5, 8, 11)
14, (0, 5, 9, 10)
15, (1, 2, 6, 9)
16, (1, 2, 7, 8)
17, (1, 2, 7, 11)
18, (1, 2, 8, 10)
19, (1, 2, 10, 11)
20, (1, 3, 6, 8)
21, (1, 3, 6, 11)
22, (1, 3, 7, 10)
23, (1, 4, 7, 9)
24, (1, 4, 8, 11)
25, (1, 4, 9, 10)
26, (1, 5, 6, 9)
27, (1, 5, 7, 8)
28, (1, 5, 7, 11)
29, (1, 5, 8, 10)
30, (1, 5, 10, 11)
31, (2, 3, 6, 7)
32, (2, 3, 6, 10)
33, (2, 4, 6, 9)
34, (2, 4, 7, 8)
35, (2, 4, 7, 11)
36, (2, 4, 8, 10)
37, (2, 4, 10, 11)
38, (2, 5, 6, 8)
39, (2, 5, 6, 11)
40, (2, 5, 7, 10)
41, (3, 4, 6, 8)
42, (3, 4, 6, 11)
43, (3, 4, 7, 10)
44, (3, 5, 6, 7)
45, (3, 5, 6, 10)
46, (4, 5, 6, 9)
47, (4, 5, 7, 8)
48, (4, 5, 7, 11)
49, (4, 5, 8, 10)
50, (4, 5, 10, 11)
