v0	826608	500	FAIL
v1	638656	446	SUCCESS
v2	789846	500	FAIL
v3	617248	438	SUCCESS
v4	771784	500	FAIL
v5	554742	417	SUCCESS
v6	770622	500	FAIL
v7	616410	438	SUCCESS
v8	616410	438	SUCCESS
v9	493474	393	SUCCESS
v10	638656	446	SUCCESS
v11	880066	500	FAIL
v12	771784	500	FAIL
v13	592518	428	SUCCESS
v14	641878	446	SUCCESS
v15	785548	500	FAIL
v16	783870	500	FAIL
v17	786060	500	FAIL
v18	786060	500	FAIL
v19	396908	354	SUCCESS
v20	770942	500	FAIL
v21	771784	500	FAIL
v22	617248	438	SUCCESS
v23	617248	438	SUCCESS
v24	800582	500	FAIL
v25	592518	428	SUCCESS
v26	616410	438	SUCCESS
v27	786060	500	FAIL
random	462366.5	117100.85888135065	379.625	50.04732135689182	42
