Gates	Layers	Fcalls	E0	Overlap	Success
3380	9	529	0.4997605289820649	0.26976747649949423	SUCCESS
1222	7	262	1.8176666222662252	0.038149467099278946	SUCCESS
5018	9	734	-0.400291179357934	0.07177130464816112	SUCCESS
6844	11	891	-0.4617879204002341	0.15774059112834962	SUCCESS
4920	10	711	-1.3618440134163512	0.09348224163357663	SUCCESS
2722	9	446	0.029448880820853562	2.0892209892120666e-06	SUCCESS
1950	8	359	-0.3794926397650582	0.0011376233728637214	SUCCESS
2126	8	383	2.6475073051618905	0.12735888686312313	SUCCESS
1428	7	298	-0.8918120606761624	0.02419042620769578	SUCCESS
1096	6	258	-0.9699100271360106	0.08861852152727874	SUCCESS
1680	8	307	0.5524704017708549	0.055250876986293385	SUCCESS
3282	9	527	1.244699604127355	0.035636888110628526	SUCCESS
3216	9	511	0.8046139481998249	0.26083574973671253	SUCCESS
2188	8	437	-0.6733567520710819	0.13419011487574448	SUCCESS
5286	10	740	-1.4999925167644228	0.033153271351036406	SUCCESS
2598	9	428	-0.09955670476721423	0.0023480639880878148	SUCCESS
2382	8	423	-0.40452649763368576	0.12819482203768365	SUCCESS
2066	8	373	3.5311302276123695	0.0032976552933167936	SUCCESS
2862	9	455	-1.3473610782346854	0.5973502655712182	SUCCESS
5408	9	800	2.697220044056011	0.025663727507318074	SUCCESS
6358	10	953	5.208469421351597	0.014837592984108314	SUCCESS
5450	10	780	2.1739230678440418	0.012706111374474761	SUCCESS
4276	9	692	-2.6714400995614715	0.19034455262059718	SUCCESS
2444	8	430	0.7452612659856839	0.0031197858076232464	SUCCESS
3460	9	563	0.8510487161912281	0.21319159864478818	SUCCESS
2530	8	442	3.6769614229810044	0.04370011829765943	SUCCESS
2680	9	439	0.9402919483132447	0.18455264833007015	SUCCESS
2764	9	447	-0.32528341127222193	0.021538482324913354	SUCCESS
2958	9	506	2.1957185768311267	0.13498759664210036	SUCCESS
2482	9	412	3.204543400476661	0.026826753526296876	SUCCESS
1918	8	362	0.5678487556508565	0.1525707291070762	SUCCESS
4758	10	694	1.5600607528746142	0.00045636433713967464	SUCCESS
3102	9	500	3.1706528580179123	0.009400040634308701	SUCCESS
3128	9	529	-0.11804156162972901	0.06868597125498473	SUCCESS
1864	8	345	1.837446425503044	0.00986631951616006	SUCCESS
2648	9	427	0.689956843480564	0.034806604379183155	SUCCESS
3062	8	546	-1.144075341133122	0.015298981112850059	SUCCESS
1662	7	342	1.1069547056482545	0.26795770213241515	SUCCESS
3152	9	532	3.0638533260784104	0.0568298684133652	SUCCESS
5586	9	822	-0.670240786848717	0.024703327137445903	SUCCESS
3194	9	502	-1.4074390305342168	0.3172501020399182	SUCCESS
3048	9	480	-2.0746751437794337	0.13822583509727301	SUCCESS
3042	9	496	2.1569305226030386	0.08395922800849151	SUCCESS
1418	7	292	2.6811232384463515	0.0013145390119719282	SUCCESS
2606	9	428	-1.538653238857538	0.12385257138936084	SUCCESS
5260	10	794	-0.608374171814312	0.03788962906602981	SUCCESS
3784	9	573	-0.5912483618822617	0.008236905719070592	SUCCESS
1574	8	296	-2.3752023243987894	0.6400672231446528	SUCCESS
1136	7	237	0.9387425761683904	0.21775115239522216	SUCCESS
2276	8	397	4.015616528428876	0.1904591549294168	SUCCESS
